"Table for Glen Eden Time Range: 01/01/2017 00:00 to 01/02/2017 00:00"
"Source",,,"AC Glen Eden WDR 10min average",,"AC Glen Eden WDR_RAW 10min average","AC Glen Eden WDR_RAW 1h average",,"AC Glen Eden WSP 10min average","AC Glen Eden WSP 1h average",,"AC Glen Eden WSP_RAW 10min average","AC Glen Eden WSP_RAW 1h average"
"Date","Time","AC Glen Eden WDR 10min average [°]","AC Glen Eden WDR 1h average [°]","AC Glen Eden WDR_RAW 10min average [°]","AC Glen Eden WDR_RAW 1h average [°]","AC Glen Eden WDR_RAW 24h average [°]","AC Glen Eden WSP 10min average [m/s]","AC Glen Eden WSP 1h average [m/s]","AC Glen Eden WSP 24h average [m/s]","AC Glen Eden WSP_RAW 10min average [m/s]","AC Glen Eden WSP_RAW 1h average [m/s]","AC Glen Eden WSP_RAW 24h average [m/s]"
01/01/2017,00:10,,,171,,,,,,0.5,,
01/01/2017,00:20,,,138,,,,,,0.4,,
01/01/2017,00:30,,,129,,,,,,0.6,,
01/01/2017,00:40,,,181,,,,,,0.7,,
01/01/2017,00:50,,,146,,,,,,0.4,,
01/01/2017,01:00,,,165,155,,,,,0.5,0.5,
01/01/2017,01:10,,,156,,,,,,0.3,,
01/01/2017,01:20,,,153,,,,,,0.2,,
01/01/2017,01:30,,,150,,,,,,0.3,,
01/01/2017,01:40,,,144,,,,,,0.5,,
01/01/2017,01:50,,,149,,,,,,0.5,,
01/01/2017,02:00,,,162,153,,,,,0.4,0.4,
01/01/2017,02:10,,,162,,,,,,0.6,,
01/01/2017,02:20,,,166,,,,,,0.5,,
01/01/2017,02:30,,,147,,,,,,0.6,,
01/01/2017,02:40,,,149,,,,,,0.5,,
01/01/2017,02:50,,,167,,,,,,0.5,,
01/01/2017,03:00,,,246,173,,,,,0.3,0.5,
01/01/2017,03:10,,,123,,,,,,0.4,,
01/01/2017,03:20,,,135,,,,,,0.6,,
01/01/2017,03:30,,,142,,,,,,0.4,,
01/01/2017,03:40,,,163,,,,,,0.3,,
01/01/2017,03:50,,,130,,,,,,0.3,,
01/01/2017,04:00,,,203,150,,,,,0.2,0.4,
01/01/2017,04:10,,,160,,,,,,0.4,,
01/01/2017,04:20,,,139,,,,,,0.5,,
01/01/2017,04:30,,,139,,,,,,0.4,,
01/01/2017,04:40,,,148,,,,,,0.5,,
01/01/2017,04:50,,,139,,,,,,0.6,,
01/01/2017,05:00,,,139,144,,,,,0.7,0.5,
01/01/2017,05:10,,,144,,,,,,0.6,,
01/01/2017,05:20,,,143,,,,,,0.5,,
01/01/2017,05:30,,,169,,,,,,0.4,,
01/01/2017,05:40,,,143,,,,,,0.4,,
01/01/2017,05:50,,,132,,,,,,0.2,,
01/01/2017,06:00,,,281,169,,,,,0.3,0.4,
01/01/2017,06:10,,,269,,,,,,0.3,,
01/01/2017,06:20,,,253,,,,,,0.3,,
01/01/2017,06:30,,,263,,,,,,0.2,,
01/01/2017,06:40,,,332,,,,,,0.5,,
01/01/2017,06:50,,,332,,,,,,0.8,,
01/01/2017,07:00,,,334,297,,,,,1.1,0.5,
01/01/2017,07:10,,,325,,,,,,0.9,,
01/01/2017,07:20,,,313,,,,,,0.8,,
01/01/2017,07:30,,,330,,,,,,1.0,,
01/01/2017,07:40,,,340,,,,,,1.6,,
01/01/2017,07:50,,,333,,,,,,2.9,,
01/01/2017,08:00,,,332,329,,,,,3.6,1.8,
01/01/2017,08:10,,,341,,,,,,2.8,,
01/01/2017,08:20,,,336,,,,,,3.1,,
01/01/2017,08:30,,,328,,,,,,4.3,,
01/01/2017,08:40,,,323,,,,,,4.6,,
01/01/2017,08:50,,,330,,,,,,4.2,,
01/01/2017,09:00,,,345,334,,,,,4.5,3.9,
01/01/2017,09:10,,,331,,,,,,3.8,,
01/01/2017,09:20,,,317,,,,,,5.2,,
01/01/2017,09:30,,,322,,,,,,5.3,,
01/01/2017,09:40,,,310,,,,,,5.5,,
01/01/2017,09:50,,,319,,,,,,5.7,,
01/01/2017,10:00,,,320,320,,,,,5.6,5.2,
01/01/2017,10:10,,,329,,,,,,5.3,,
01/01/2017,10:20,,,305,,,,,,5.0,,
01/01/2017,10:30,,,298,,,,,,4.8,,
01/01/2017,10:40,,,303,,,,,,5.3,,
01/01/2017,10:50,,,309,,,,,,5.0,,
01/01/2017,11:00,,,302,308,,,,,4.8,5.0,
01/01/2017,11:10,,,297,,,,,,5.0,,
01/01/2017,11:20,,,312,,,,,,6.0,,
01/01/2017,11:30,,,297,,,,,,5.3,,
01/01/2017,11:40,,,317,,,,,,6.5,,
01/01/2017,11:50,,,305,,,,,,5.3,,
01/01/2017,12:00,,,295,304,,,,,5.1,5.5,
01/01/2017,12:10,,,292,,,,,,5.6,,
01/01/2017,12:20,,,298,,,,,,5.8,,
01/01/2017,12:30,,,312,,,,,,4.9,,
01/01/2017,12:40,,,322,,,,,,5.5,,
01/01/2017,12:50,,,319,,,,,,5.4,,
01/01/2017,13:00,,,323,311,,,,,5.5,5.5,
01/01/2017,13:10,,,323,,,,,,5.3,,
01/01/2017,13:20,,,318,,,,,,5.4,,
01/01/2017,13:30,,,330,,,,,,5.4,,
01/01/2017,13:40,,,322,,,,,,4.8,,
01/01/2017,13:50,,,317,,,,,,4.8,,
01/01/2017,14:00,,,303,319,,,,,4.6,5.0,
01/01/2017,14:10,,,313,,,,,,5.1,,
01/01/2017,14:20,,,303,,,,,,6.1,,
01/01/2017,14:30,,,298,,,,,,6.0,,
01/01/2017,14:40,,,295,,,,,,5.4,,
01/01/2017,14:50,,,304,,,,,,5.4,,
01/01/2017,15:00,,,314,305,,,,,5.1,5.5,
01/01/2017,15:10,,,305,,,,,,5.1,,
01/01/2017,15:20,,,296,,,,,,5.4,,
01/01/2017,15:30,,,307,,,,,,5.2,,
01/01/2017,15:40,,,316,,,,,,5.8,,
01/01/2017,15:50,,,308,,,,,,5.5,,
01/01/2017,16:00,,,315,308,,,,,5.8,5.5,
01/01/2017,16:10,,,316,,,,,,4.1,,
01/01/2017,16:20,,,294,,,,,,5.0,,
01/01/2017,16:30,,,293,,,,,,4.3,,
01/01/2017,16:40,,,318,,,,,,4.7,,
01/01/2017,16:50,,,302,,,,,,4.9,,
01/01/2017,17:00,,,305,305,,,,,4.5,4.6,
01/01/2017,17:10,,,319,,,,,,5.1,,
01/01/2017,17:20,,,320,,,,,,5.0,,
01/01/2017,17:30,,,306,,,,,,4.0,,
01/01/2017,17:40,,,330,,,,,,4.5,,
01/01/2017,17:50,,,311,,,,,,3.8,,
01/01/2017,18:00,,,309,316,,,,,3.6,4.3,
01/01/2017,18:10,,,329,,,,,,3.8,,
01/01/2017,18:20,,,307,,,,,,3.4,,
01/01/2017,18:30,,,318,,,,,,3.2,,
01/01/2017,18:40,,,329,,,,,,4.6,,
01/01/2017,18:50,,,313,,,,,,3.8,,
01/01/2017,19:00,,,326,320,,,,,4.3,3.9,
01/01/2017,19:10,,,321,,,,,,4.2,,
01/01/2017,19:20,,,314,,,,,,3.7,,
01/01/2017,19:30,,,329,,,,,,3.1,,
01/01/2017,19:40,,,323,,,,,,3.2,,
