"Table for Henderson Time Range: 01/05/2017 00:00 to 01/06/2017 00:00"
"Source",,,"AC Henderson WDR_RAW 10min average",,"AC Henderson WSP_RAW 10min average"
"Date","Time","AC Henderson WDR_RAW 10min average [°]","AC Henderson WDR_RAW 1h average [°]","AC Henderson WSP_RAW 10min average [m/s]","AC Henderson WSP_RAW 1h average [m/s]"
01/05/2017,00:10,275,,2.7,
01/05/2017,00:20,278,,2.2,
01/05/2017,00:30,277,,2.3,
01/05/2017,00:40,284,,2.6,
01/05/2017,00:50,295,,3.0,
01/05/2017,01:00,287,,2.4,
01/05/2017,01:10,277,,3.4,
01/05/2017,01:20,274,,3.1,
01/05/2017,01:30,282,,2.3,
01/05/2017,01:40,277,,1.9,
01/05/2017,01:50,276,,2.4,
01/05/2017,02:00,272,276,2.4,2.6
01/05/2017,02:10,283,,2.0,
01/05/2017,02:20,282,,2.3,
01/05/2017,02:30,269,,2.4,
01/05/2017,02:40,269,,2.2,
01/05/2017,02:50,268,,2.2,
01/05/2017,03:00,266,273,2.5,2.3
01/05/2017,03:10,256,,1.3,
01/05/2017,03:20,225,,1.0,
01/05/2017,03:30,215,,1.3,
01/05/2017,03:40,224,,1.0,
01/05/2017,03:50,221,,1.0,
01/05/2017,04:00,206,225,0.9,1.1
01/05/2017,04:10,190,,0.8,
01/05/2017,04:20,195,,0.9,
01/05/2017,04:30,197,,0.8,
01/05/2017,04:40,195,,0.7,
01/05/2017,04:50,195,,1.2,
01/05/2017,05:00,198,195,1.1,0.9
01/05/2017,05:10,192,,1.5,
01/05/2017,05:20,199,,1.2,
01/05/2017,05:30,198,,1.1,
01/05/2017,05:40,190,,1.0,
01/05/2017,05:50,204,,1.4,
01/05/2017,06:00,198,197,1.0,1.2
01/05/2017,06:10,191,,0.9,
01/05/2017,06:20,200,,0.9,
01/05/2017,06:30,191,,1.4,
01/05/2017,06:40,197,,0.9,
01/05/2017,06:50,193,,1.2,
01/05/2017,07:00,191,194,1.2,1.1
01/05/2017,07:10,193,,1.4,
01/05/2017,07:20,189,,1.5,
01/05/2017,07:30,184,,1.2,
01/05/2017,07:40,197,,0.7,
01/05/2017,07:50,200,,0.8,
01/05/2017,08:00,189,192,0.7,1.1
