"Table for Pakuranga Time Range: 01/07/2017 00:00 to 01/08/2017 00:00"
"Source",,,"AC Pakuranga WDR_RAW 10min average","AC Pakuranga WDR_RAW 1h average",,"AC Pakuranga WSP_RAW 10min average","AC Pakuranga WSP_RAW 1h average"
"Date","Time","AC Pakuranga WDR_RAW 10min average [°]","AC Pakuranga WDR_RAW 1h average [°]","AC Pakuranga WDR_RAW 24h average [°]","AC Pakuranga WSP_RAW 10min average [m/s]","AC Pakuranga WSP_RAW 1h average [m/s]","AC Pakuranga WSP_RAW 24h average [m/s]"
01/07/2017,00:10,33,,,1.0,,
01/07/2017,00:20,39,,,0.8,,
01/07/2017,00:30,35,,,0.8,,
01/07/2017,00:40,35,,,0.7,,
01/07/2017,00:50,38,,,0.8,,
01/07/2017,01:00,35,36,,0.9,0.8,
01/07/2017,01:10,38,,,1.1,,
01/07/2017,01:20,37,,,1.0,,
01/07/2017,01:30,39,,,0.9,,
01/07/2017,01:40,43,,,0.7,,
01/07/2017,01:50,42,,,0.8,,
01/07/2017,02:00,41,40,,0.7,0.9,
01/07/2017,02:10,44,,,0.8,,
01/07/2017,02:20,39,,,1.0,,
01/07/2017,02:30,39,,,1.1,,
01/07/2017,02:40,41,,,1.0,,
01/07/2017,02:50,29,,,1.2,,
01/07/2017,03:00,30,37,,1.2,1.0,
01/07/2017,03:10,30,,,1.2,,
01/07/2017,03:20,25,,,1.5,,
01/07/2017,03:30,26,,,0.9,,
01/07/2017,03:40,24,,,1.2,,
01/07/2017,03:50,20,,,1.1,,
01/07/2017,04:00,24,25,,1.3,1.2,
01/07/2017,04:10,54,,,1.2,,
01/07/2017,04:20,78,,,1.6,,
01/07/2017,04:30,119,,,1.9,,
01/07/2017,04:40,113,,,2.1,,
01/07/2017,04:50,109,,,2.1,,
01/07/2017,05:00,127,100,,2.0,1.8,
01/07/2017,05:10,108,,,2.1,,
01/07/2017,05:20,119,,,1.6,,
01/07/2017,05:30,33,,,1.0,,
01/07/2017,05:40,38,,,1.3,,
01/07/2017,05:50,22,,,1.0,,
01/07/2017,06:00,37,59,,1.2,1.4,
01/07/2017,06:10,39,,,1.4,,
01/07/2017,06:20,33,,,1.5,,
01/07/2017,06:30,29,,,1.1,,
01/07/2017,06:40,32,,,1.5,,
01/07/2017,06:50,39,,,1.2,,
01/07/2017,07:00,31,34,,1.5,1.4,
01/07/2017,07:10,32,,,1.6,,
01/07/2017,07:20,42,,,1.6,,
01/07/2017,07:30,36,,,1.2,,
01/07/2017,07:40,42,,,1.3,,
01/07/2017,07:50,36,,,1.5,,
01/07/2017,08:00,30,36,,1.5,1.4,
01/07/2017,08:10,25,,,1.8,,
01/07/2017,08:20,29,,,1.5,,
01/07/2017,08:30,25,,,1.3,,
01/07/2017,08:40,38,,,1.4,,
01/07/2017,08:50,32,,,1.4,,
01/07/2017,09:00,36,31,,1.5,1.5,
01/07/2017,09:10,35,,,1.5,,
01/07/2017,09:20,37,,,1.3,,
01/07/2017,09:30,38,,,1.7,,
01/07/2017,09:40,33,,,1.5,,
01/07/2017,09:50,40,,,1.3,,
01/07/2017,10:00,31,36,,1.4,1.5,
01/07/2017,10:10,39,,,1.6,,
01/07/2017,10:20,35,,,1.4,,
01/07/2017,10:30,33,,,1.1,,
01/07/2017,10:40,35,,,1.5,,
01/07/2017,10:50,37,,,1.4,,
01/07/2017,11:00,28,34,,1.4,1.4,
01/07/2017,11:10,31,,,1.7,,
01/07/2017,11:20,22,,,1.4,,
01/07/2017,11:30,25,,,1.7,,
01/07/2017,11:40,30,,,2.0,,
01/07/2017,11:50,28,,,1.5,,
01/07/2017,12:00,32,28,,2.1,1.7,
01/07/2017,12:10,37,,,1.3,,
01/07/2017,12:20,31,,,1.8,,
01/07/2017,12:30,33,,,1.7,,
01/07/2017,12:40,32,,,1.8,,
01/07/2017,12:50,28,,,1.8,,
01/07/2017,13:00,31,32,,1.4,1.6,
01/07/2017,13:10,36,,,1.5,,
01/07/2017,13:20,36,,,1.8,,
01/07/2017,13:30,34,,,1.9,,
01/07/2017,13:40,33,,,2.2,,
01/07/2017,13:50,30,,,1.8,,
01/07/2017,14:00,33,34,,1.9,1.8,
01/07/2017,14:10,33,,,1.4,,
01/07/2017,14:20,40,,,2.0,,
01/07/2017,14:30,37,,,1.7,,
01/07/2017,14:40,29,,,1.4,,
01/07/2017,14:50,33,,,1.8,,
01/07/2017,15:00,33,34,,1.8,1.7,
01/07/2017,15:10,30,,,1.4,,
01/07/2017,15:20,31,,,1.4,,
01/07/2017,15:30,36,,,2.1,,
01/07/2017,15:40,34,,,1.4,,
01/07/2017,15:50,31,,,1.8,,
01/07/2017,16:00,34,33,,1.6,1.6,
01/07/2017,16:10,30,,,2.0,,
01/07/2017,16:20,36,,,1.5,,
01/07/2017,16:30,32,,,1.5,,
01/07/2017,16:40,34,,,1.8,,
01/07/2017,16:50,34,,,2.1,,
01/07/2017,17:00,33,33,,1.6,1.8,
01/07/2017,17:10,34,,,2.0,,
01/07/2017,17:20,33,,,1.6,,
01/07/2017,17:30,32,,,1.7,,
01/07/2017,17:40,32,,,1.8,,
01/07/2017,17:50,38,,,1.6,,
01/07/2017,18:00,35,34,,1.6,1.7,
01/07/2017,18:10,34,,,1.2,,
01/07/2017,18:20,30,,,1.7,,
01/07/2017,18:30,41,,,1.3,,
01/07/2017,18:40,36,,,1.7,,
01/07/2017,18:50,34,,,2.1,,
01/07/2017,19:00,33,35,,2.0,1.7,
01/07/2017,19:10,29,,,1.6,,
01/07/2017,19:20,35,,,1.3,,
01/07/2017,19:30,28,,,1.7,,
01/07/2017,19:40,24,,,1.6,,
01/07/2017,19:50,28,,,1.6,,
01/07/2017,20:00,23,27,,1.7,1.6,
01/07/2017,20:10,32,,,1.2,,
01/07/2017,20:20,16,,,1.5,,
01/07/2017,20:30,29,,,1.8,,
01/07/2017,20:40,31,,,1.8,,
01/07/2017,20:50,26,,,1.3,,
01/07/2017,21:00,,,,,,
01/07/2017,21:10,,,,,,
01/07/2017,21:20,,,,,,
01/07/2017,21:30,,,,,,
01/07/2017,21:40,,,,,,
01/07/2017,21:50,,,,,,
01/07/2017,22:00,,,,,,
01/07/2017,22:10,,,,,,
01/07/2017,22:20,,,,,,
01/07/2017,22:30,,,,,,
01/07/2017,22:40,,,,,,
01/07/2017,22:50,,,,,,
01/07/2017,23:00,,,,,,
01/07/2017,23:10,,,,,,
01/07/2017,23:20,,,,,,
01/07/2017,23:30,,,,,,
01/07/2017,23:40,,,,,,
01/07/2017,23:50,,,,,,
01/07/2017,24:00,101,,38,1.0,,1.5
02/07/2017,00:10,90,,,0.5,,
02/07/2017,00:20,53,,,0.9,,
02/07/2017,00:30,3,,,0.6,,
02/07/2017,00:40,58,,,0.4,,
02/07/2017,00:50,34,,,0.7,,
02/07/2017,01:00,42,47,,0.9,0.7,
02/07/2017,01:10,73,,,0.8,,
02/07/2017,01:20,327,,,0.3,,
02/07/2017,01:30,19,,,0.6,,
02/07/2017,01:40,35,,,0.7,,
02/07/2017,01:50,30,,,0.6,,
02/07/2017,02:00,32,86,,0.7,0.6,
02/07/2017,02:10,33,,,1.0,,
02/07/2017,02:20,41,,,0.9,,
02/07/2017,02:30,45,,,0.6,,
02/07/2017,02:40,48,,,0.6,,
02/07/2017,02:50,52,,,0.6,,
