"Table for Penrose Time Range: 01/03/2017 00:00 to 01/04/2017 00:00"
"Source",,,"AC Penrose WDR 10min average",,"AC Penrose WDR_RAW 10min average","AC Penrose WDR_RAW 1h average",,"AC Penrose WSP 10min average","AC Penrose WSP 1h average",,"AC Penrose WSP_RAW 10min average","AC Penrose WSP_RAW 1h average"
"Date","Time","AC Penrose WDR 10min average [°]","AC Penrose WDR 1h average [°]","AC Penrose WDR_RAW 10min average [°]","AC Penrose WDR_RAW 1h average [°]","AC Penrose WDR_RAW 24h average [°]","AC Penrose WSP 10min average [m/s]","AC Penrose WSP 1h average [m/s]","AC Penrose WSP 24h average [m/s]","AC Penrose WSP_RAW 10min average [m/s]","AC Penrose WSP_RAW 1h average [m/s]","AC Penrose WSP_RAW 24h average [m/s]"
01/03/2017,00:10,,,,,,,,,,,
01/03/2017,00:20,,,,,,,,,,,
01/03/2017,00:30,,,,,,,,,,,
01/03/2017,00:40,,,,,,,,,,,
01/03/2017,00:50,,,,,,,,,,,
01/03/2017,01:00,,,1,,,,,,0.7,,
01/03/2017,01:10,,,9,,,,,,0.7,,
01/03/2017,01:20,,,12,,,,,,0.8,,
01/03/2017,01:30,,,345,,,,,,0.6,,
01/03/2017,01:40,,,349,,,,,,0.6,,
01/03/2017,01:50,,,354,,,,,,0.6,,
01/03/2017,02:00,,,356,237,,,,,0.5,0.6,
01/03/2017,02:10,,,30,,,,,,0.2,,
01/03/2017,02:20,,,94,,,,,,0.2,,
01/03/2017,02:30,,,353,,,,,,0.6,,
01/03/2017,02:40,,,350,,,,,,0.5,,
01/03/2017,02:50,,,331,,,,,,0.3,,
01/03/2017,03:00,,,22,196,,,,,0.5,0.4,
01/03/2017,03:10,,,7,,,,,,0.2,,
01/03/2017,03:20,,,9,,,,,,0.5,,
01/03/2017,03:30,,,354,,,,,,0.6,,
01/03/2017,03:40,,,4,,,,,,0.5,,
01/03/2017,03:50,,,348,,,,,,0.4,,
01/03/2017,04:00,,,341,177,,,,,0.5,0.4,
01/03/2017,04:10,,,332,,,,,,0.5,,
01/03/2017,04:20,,,331,,,,,,0.5,,
01/03/2017,04:30,,,351,,,,,,0.2,,
01/03/2017,04:40,,,351,,,,,,0.6,,
01/03/2017,04:50,,,11,,,,,,0.6,,
01/03/2017,05:00,,,355,288,,,,,0.6,0.5,
01/03/2017,05:10,,,350,,,,,,0.6,,
01/03/2017,05:20,,,7,,,,,,0.4,,
01/03/2017,05:30,,,1,,,,,,0.5,,
01/03/2017,05:40,,,339,,,,,,0.5,,
01/03/2017,05:50,,,349,,,,,,0.2,,
01/03/2017,06:00,,,357,234,,,,,0.2,0.4,
01/03/2017,06:10,,,17,,,,,,0.3,,
01/03/2017,06:20,,,27,,,,,,0.6,,
01/03/2017,06:30,,,61,,,,,,0.2,,
01/03/2017,06:40,,,74,,,,,,0.4,,
01/03/2017,06:50,,,94,,,,,,0.6,,
01/03/2017,07:00,,,98,62,,,,,0.7,0.5,
01/03/2017,07:10,,,94,,,,,,0.5,,
01/03/2017,07:20,,,113,,,,,,0.5,,
01/03/2017,07:30,,,120,,,,,,0.5,,
01/03/2017,07:40,,,143,,,,,,0.8,,
01/03/2017,07:50,,,99,,,,,,0.9,,
01/03/2017,08:00,,,100,112,,,,,0.9,0.7,
01/03/2017,08:10,,,91,,,,,,0.8,,
01/03/2017,08:20,,,76,,,,,,0.6,,
01/03/2017,08:30,,,355,,,,,,0.6,,
01/03/2017,08:40,,,353,,,,,,0.3,,
01/03/2017,08:50,,,,,,,,,,,
01/03/2017,09:00,,,,,,,,,,,
01/03/2017,09:10,,,,,,,,,,,
01/03/2017,09:20,,,,,,,,,,,
01/03/2017,09:30,,,,,,,,,,,
01/03/2017,09:40,,,,,,,,,,,
01/03/2017,09:50,,,,,,,,,,,
01/03/2017,10:00,,,153,,,,,,1.1,,
01/03/2017,10:10,,,143,,,,,,1.3,,
01/03/2017,10:20,,,131,,,,,,1.2,,
01/03/2017,10:30,,,133,,,,,,1.3,,
01/03/2017,10:40,,,102,,,,,,1.0,,
01/03/2017,10:50,,,77,,,,,,1.5,,
01/03/2017,11:00,,,54,107,,,,,1.3,1.3,
01/03/2017,11:10,,,54,,,,,,1.1,,
01/03/2017,11:20,,,19,,,,,,0.7,,
01/03/2017,11:30,,,6,,,,,,0.8,,
01/03/2017,11:40,,,124,,,,,,0.2,,
01/03/2017,11:50,,,6,,,,,,1.3,,
01/03/2017,12:00,,,5,36,,,,,2.1,1.0,
01/03/2017,12:10,,,350,,,,,,2.0,,
01/03/2017,12:20,,,341,,,,,,1.6,,
01/03/2017,12:30,,,356,,,,,,1.1,,
01/03/2017,12:40,,,270,,,,,,1.1,,
01/03/2017,12:50,,,267,,,,,,1.2,,
01/03/2017,13:00,,,254,306,,,,,1.3,1.4,
01/03/2017,13:10,,,332,,,,,,1.3,,
01/03/2017,13:20,,,284,,,,,,1.2,,
01/03/2017,13:30,,,314,,,,,,0.6,,
01/03/2017,13:40,,,223,,,,,,0.6,,
01/03/2017,13:50,,,242,,,,,,2.1,,
01/03/2017,14:00,,,234,271,,,,,2.3,1.3,
01/03/2017,14:10,,,224,,,,,,2.3,,
01/03/2017,14:20,,,244,,,,,,2.3,,
01/03/2017,14:30,,,236,,,,,,1.7,,
01/03/2017,14:40,,,239,,,,,,2.2,,
01/03/2017,14:50,,,244,,,,,,2.4,,
01/03/2017,15:00,,,234,237,,,,,2.5,2.2,
01/03/2017,15:10,,,232,,,,,,1.9,,
01/03/2017,15:20,,,207,,,,,,1.9,,
01/03/2017,15:30,,,232,,,,,,2.3,,
01/03/2017,15:40,,,230,,,,,,2.9,,
01/03/2017,15:50,,,237,,,,,,2.4,,
01/03/2017,16:00,,,246,231,,,,,2.4,2.3,
01/03/2017,16:10,,,248,,,,,,2.7,,
01/03/2017,16:20,,,249,,,,,,2.7,,
01/03/2017,16:30,,,244,,,,,,2.7,,
01/03/2017,16:40,,,243,,,,,,3.4,,
01/03/2017,16:50,,,244,,,,,,3.1,,
01/03/2017,17:00,,,254,247,,,,,2.9,2.9,
01/03/2017,17:10,,,296,,,,,,1.9,,
01/03/2017,17:20,,,280,,,,,,1.5,,
01/03/2017,17:30,,,317,,,,,,1.9,,
01/03/2017,17:40,,,333,,,,,,1.2,,
01/03/2017,17:50,,,18,,,,,,1.0,,
01/03/2017,18:00,,,52,216,,,,,2.2,1.6,
01/03/2017,18:10,,,33,,,,,,3.3,,
01/03/2017,18:20,,,333,,,,,,2.6,,
01/03/2017,18:30,,,5,,,,,,1.9,,
01/03/2017,18:40,,,17,,,,,,2.4,,
01/03/2017,18:50,,,20,,,,,,3.3,,
01/03/2017,19:00,,,9,70,,,,,1.7,2.5,
01/03/2017,19:10,,,6,,,,,,2.4,,
01/03/2017,19:20,,,45,,,,,,1.9,,
01/03/2017,19:30,,,15,,,,,,1.5,,
01/03/2017,19:40,,,24,,,,,,1.5,,
01/03/2017,19:50,,,9,,,,,,2.0,,
01/03/2017,20:00,,,337,73,,,,,1.4,1.8,
01/03/2017,20:10,,,326,,,,,,1.3,,
01/03/2017,20:20,,,,,,,,,,,
01/03/2017,20:30,,,,,,,,,,,
01/03/2017,20:40,,,,,,,,,,,
01/03/2017,20:50,,,,,,,,,,,
01/03/2017,21:00,,,,,,,,,,,
01/03/2017,21:10,,,,,,,,,,,
01/03/2017,21:20,,,,,,,,,,,
01/03/2017,21:30,,,,,,,,,,,
01/03/2017,21:40,,,,,,,,,,,
01/03/2017,21:50,,,,,,,,,,,
01/03/2017,22:00,,,216,,,,,,1.8,,
01/03/2017,22:10,,,211,,,,,,1.5,,
01/03/2017,22:20,,,211,,,,,,1.6,,
01/03/2017,22:30,,,210,,,,,,1.8,,
01/03/2017,22:40,,,213,,,,,,1.6,,
01/03/2017,22:50,,,210,,,,,,1.8,,
01/03/2017,23:00,,,214,212,,,,,1.7,1.7,
01/03/2017,23:10,,,225,,,,,,1.6,,
01/03/2017,23:20,,,245,,,,,,1.2,,
01/03/2017,23:30,,,242,,,,,,1.0,,
01/03/2017,23:40,,,237,,,,,,1.1,,
01/03/2017,23:50,,,234,,,,,,1.2,,
01/03/2017,24:00,,,236,236,187,,,,0.9,1.2,1.3
02/03/2017,00:10,,,247,,,,,,0.5,,
02/03/2017,00:20,,,229,,,,,,1.5,,
02/03/2017,00:30,,,246,,,,,,1.3,,
02/03/2017,00:40,,,248,,,,,,1.4,,
02/03/2017,00:50,,,228,,,,,,1.3,,
02/03/2017,01:00,,,229,238,,,,,1.4,1.2,
02/03/2017,01:10,,,230,,,,,,1.2,,
02/03/2017,01:20,,,234,,,,,,1.3,,
02/03/2017,01:30,,,234,,,,,,1.2,,
02/03/2017,01:40,,,234,,,,,,1.1,,
02/03/2017,01:50,,,237,,,,,,1.0,,
02/03/2017,02:00,,,241,235,,,,,1.0,1.1,
02/03/2017,02:10,,,256,,,,,,1.1,,
02/03/2017,02:20,,,268,,,,,,0.4,,
02/03/2017,02:30,,,328,,,,,,0.2,,
02/03/2017,02:40,,,266,,,,,,0.3,,
02/03/2017,02:50,,,21,,,,,,0.3,,
02/03/2017,03:00,,,,228,,,,,,0.5,
02/03/2017,03:10,,,,,,,,,,,
02/03/2017,03:20,,,,,,,,,,,
02/03/2017,03:30,,,,,,,,,,,
02/03/2017,03:40,,,,,,,,,,,
02/03/2017,03:50,,,,,,,,,,,
02/03/2017,04:00,,,,,,,,,,,
02/03/2017,04:10,,,,,,,,,,,
02/03/2017,04:20,,,,,,,,,,,
02/03/2017,04:30,,,,,,,,,,,
