"Table for Takapuna Time Range: 01/08/2012 00:00 to 01/09/2012 00:00"
"Source",,,"AC Takapuna WDR 10min average",,"AC Takapuna WDR_RAW 10min average","AC Takapuna WDR_RAW 1h average",,"AC Takapuna WSP 10min average","AC Takapuna WSP 1h average",,"AC Takapuna WSP_RAW 10min average","AC Takapuna WSP_RAW 1h average"
"Date","Time","AC Takapuna WDR 10min average [°]","AC Takapuna WDR 1h average [°]","AC Takapuna WDR_RAW 10min average [°]","AC Takapuna WDR_RAW 1h average [°]","AC Takapuna WDR_RAW 24h average [°]","AC Takapuna WSP 10min average [m/s]","AC Takapuna WSP 1h average [m/s]","AC Takapuna WSP 24h average [m/s]","AC Takapuna WSP_RAW 10min average [m/s]","AC Takapuna WSP_RAW 1h average [m/s]","AC Takapuna WSP_RAW 24h average [m/s]"
01/08/2012,00:10,256,,256,,,0.4,,,0.4,,
01/08/2012,00:20,258,,258,,,0.4,,,0.4,,
01/08/2012,00:30,258,,258,,,0.6,,,0.6,,
01/08/2012,00:40,259,,259,,,0.2,,,0.2,,
01/08/2012,00:50,259,,259,,,0.4,,,0.4,,
01/08/2012,01:00,259,258,259,258,,0.5,0.4,,0.5,0.4,
01/08/2012,01:10,259,,259,,,0.3,,,0.3,,
01/08/2012,01:20,259,,259,,,0.7,,,0.7,,
01/08/2012,01:30,291,,291,,,1.0,,,1.0,,
01/08/2012,01:40,248,,248,,,0.6,,,0.6,,
01/08/2012,01:50,266,,266,,,0.3,,,0.3,,
01/08/2012,02:00,265,265,265,265,,0.5,0.6,,0.5,0.6,
01/08/2012,02:10,281,,281,,,0.6,,,0.6,,
01/08/2012,02:20,281,,281,,,0.7,,,0.7,,
01/08/2012,02:30,278,,278,,,0.8,,,0.8,,
01/08/2012,02:40,275,,275,,,0.5,,,0.5,,
01/08/2012,02:50,275,,275,,,0.6,,,0.6,,
01/08/2012,03:00,271,277,271,277,,0.6,0.6,,0.6,0.6,
01/08/2012,03:10,263,,263,,,0.5,,,0.5,,
01/08/2012,03:20,253,,253,,,0.4,,,0.4,,
01/08/2012,03:30,231,,231,,,0.3,,,0.3,,
01/08/2012,03:40,103,,103,,,0.2,,,0.2,,
01/08/2012,03:50,347,,347,,,0.1,,,0.1,,
01/08/2012,04:00,149,224,149,224,,1.1,0.4,,1.1,0.4,
01/08/2012,04:10,102,,102,,,1.0,,,1.0,,
01/08/2012,04:20,96,,96,,,0.9,,,0.9,,
01/08/2012,04:30,83,,83,,,1.5,,,1.5,,
01/08/2012,04:40,88,,88,,,2.0,,,2.0,,
01/08/2012,04:50,77,,77,,,2.1,,,2.1,,
01/08/2012,05:00,80,88,80,88,,1.9,1.6,,1.9,1.6,
01/08/2012,05:10,80,,80,,,2.2,,,2.2,,
01/08/2012,05:20,78,,78,,,2.4,,,2.4,,
01/08/2012,05:30,76,,76,,,2.6,,,2.6,,
01/08/2012,05:40,80,,80,,,2.4,,,2.4,,
01/08/2012,05:50,75,,75,,,2.6,,,2.6,,
01/08/2012,06:00,81,78,81,78,,2.3,2.4,,2.3,2.4,
01/08/2012,06:10,88,,88,,,2.3,,,2.3,,
01/08/2012,06:20,88,,88,,,2.0,,,2.0,,
01/08/2012,06:30,92,,92,,,2.7,,,2.7,,
01/08/2012,06:40,85,,85,,,1.9,,,1.9,,
01/08/2012,06:50,85,,85,,,2.2,,,2.2,,
01/08/2012,07:00,88,88,88,88,,1.9,2.2,,1.9,2.2,
01/08/2012,07:10,98,,98,,,1.8,,,1.8,,
01/08/2012,07:20,93,,93,,,1.9,,,1.9,,
01/08/2012,07:30,109,,109,,,2.7,,,2.7,,
01/08/2012,07:40,105,,105,,,2.7,,,2.7,,
01/08/2012,07:50,100,,100,,,2.7,,,2.7,,
01/08/2012,08:00,100,101,100,101,,2.5,2.4,,2.5,2.4,
01/08/2012,08:10,97,,97,,,2.5,,,2.5,,
01/08/2012,08:20,103,,103,,,3.3,,,3.3,,
01/08/2012,08:30,100,,100,,,2.9,,,2.9,,
01/08/2012,08:40,95,,95,,,2.4,,,2.4,,
01/08/2012,08:50,109,,109,,,2.9,,,2.9,,
01/08/2012,09:00,111,103,111,103,,2.4,2.7,,2.4,2.7,
01/08/2012,09:10,106,,106,,,2.3,,,2.3,,
01/08/2012,09:20,104,,104,,,3.3,,,3.3,,
01/08/2012,09:30,101,,101,,,2.9,,,2.9,,
01/08/2012,09:40,97,,97,,,2.3,,,2.3,,
01/08/2012,09:50,85,,85,,,2.3,,,2.3,,
01/08/2012,10:00,84,96,84,96,,3.0,2.7,,3.0,2.7,
01/08/2012,10:10,79,,79,,,2.5,,,2.5,,
01/08/2012,10:20,78,,78,,,3.4,,,3.4,,
01/08/2012,10:30,79,,79,,,3.2,,,3.2,,
01/08/2012,10:40,85,,85,,,2.9,,,2.9,,
01/08/2012,10:50,85,,85,,,3.4,,,3.4,,
01/08/2012,11:00,87,82,87,82,,3.6,3.2,,3.6,3.2,
01/08/2012,11:10,81,,81,,,3.5,,,3.5,,
01/08/2012,11:20,84,,84,,,3.1,,,3.1,,
01/08/2012,11:30,77,,77,,,4.3,,,4.3,,
01/08/2012,11:40,74,,74,,,4.5,,,4.5,,
01/08/2012,11:50,73,,73,,,4.4,,,4.4,,
01/08/2012,12:00,71,77,71,77,,3.5,3.9,,3.5,3.9,
01/08/2012,12:10,78,,78,,,4.3,,,4.3,,
01/08/2012,12:20,77,,77,,,3.2,,,3.2,,
01/08/2012,12:30,74,,74,,,2.6,,,2.6,,
01/08/2012,12:40,74,,74,,,3.6,,,3.6,,
01/08/2012,12:50,78,,78,,,3.4,,,3.4,,
01/08/2012,13:00,77,77,77,77,,3.9,3.5,,3.9,3.5,
01/08/2012,13:10,81,,81,,,3.6,,,3.6,,
01/08/2012,13:20,71,,71,,,3.7,,,3.7,,
01/08/2012,13:30,68,,68,,,3.6,,,3.6,,
01/08/2012,13:40,71,,71,,,3.6,,,3.6,,
01/08/2012,13:50,65,,65,,,3.8,,,3.8,,
01/08/2012,14:00,65,70,65,70,,4.7,3.8,,4.7,3.8,
01/08/2012,14:10,74,,74,,,4.4,,,4.4,,
01/08/2012,14:20,74,,74,,,4.5,,,4.5,,
01/08/2012,14:30,78,,78,,,4.3,,,4.3,,
01/08/2012,14:40,76,,76,,,3.8,,,3.8,,
01/08/2012,14:50,75,,75,,,4.2,,,4.2,,
01/08/2012,15:00,78,76,78,76,,4.0,4.2,,4.0,4.2,
01/08/2012,15:10,75,,75,,,4.1,,,4.1,,
01/08/2012,15:20,78,,78,,,4.1,,,4.1,,
01/08/2012,15:30,76,,76,,,3.8,,,3.8,,
01/08/2012,15:40,76,,76,,,4.4,,,4.4,,
01/08/2012,15:50,76,,76,,,3.7,,,3.7,,
01/08/2012,16:00,73,76,73,76,,3.5,3.9,,3.5,3.9,
01/08/2012,16:10,67,,67,,,3.1,,,3.1,,
01/08/2012,16:20,67,,67,,,3.1,,,3.1,,
01/08/2012,16:30,69,,69,,,3.3,,,3.3,,
01/08/2012,16:40,71,,71,,,3.5,,,3.5,,
01/08/2012,16:50,77,,77,,,2.9,,,2.9,,
01/08/2012,17:00,76,71,76,71,,3.2,3.2,,3.2,3.2,
01/08/2012,17:10,76,,76,,,3.5,,,3.5,,
01/08/2012,17:20,77,,77,,,2.9,,,2.9,,
01/08/2012,17:30,76,,76,,,3.5,,,3.5,,
01/08/2012,17:40,77,,77,,,3.9,,,3.9,,
01/08/2012,17:50,80,,80,,,3.3,,,3.3,,
01/08/2012,18:00,82,78,82,78,,3.3,3.4,,3.3,3.4,
01/08/2012,18:10,81,,81,,,3.0,,,3.0,,
01/08/2012,18:20,85,,85,,,3.0,,,3.0,,
01/08/2012,18:30,81,,81,,,3.6,,,3.6,,
01/08/2012,18:40,79,,79,,,3.9,,,3.9,,
01/08/2012,18:50,81,,81,,,3.4,,,3.4,,
01/08/2012,19:00,78,81,78,81,,3.7,3.5,,3.7,3.5,
01/08/2012,19:10,80,,80,,,3.9,,,3.9,,
01/08/2012,19:20,80,,80,,,3.8,,,3.8,,
01/08/2012,19:30,79,,79,,,4.2,,,4.2,,
01/08/2012,19:40,76,,76,,,4.4,,,4.4,,
01/08/2012,19:50,81,,81,,,4.2,,,4.2,,
01/08/2012,20:00,76,79,76,79,,3.8,4.1,,3.8,4.1,
01/08/2012,20:10,71,,71,,,4.5,,,4.5,,
01/08/2012,20:20,72,,72,,,5.2,,,5.2,,
01/08/2012,20:30,74,,74,,,5.3,,,5.3,,
01/08/2012,20:40,75,,75,,,4.8,,,4.8,,
01/08/2012,20:50,73,,73,,,4.4,,,4.4,,
01/08/2012,21:00,73,73,73,73,,4.2,4.7,,4.2,4.7,
01/08/2012,21:10,76,,76,,,3.5,,,3.5,,
01/08/2012,21:20,75,,75,,,3.3,,,3.3,,
01/08/2012,21:30,93,,93,,,2.9,,,2.9,,
01/08/2012,21:40,99,,99,,,4.1,,,4.1,,
01/08/2012,21:50,99,,99,,,4.2,,,4.2,,
01/08/2012,22:00,82,87,82,87,,3.8,3.6,,3.8,3.6,
01/08/2012,22:10,84,,84,,,2.9,,,2.9,,
01/08/2012,22:20,83,,83,,,3.1,,,3.1,,
01/08/2012,22:30,87,,87,,,3.6,,,3.6,,
01/08/2012,22:40,81,,81,,,3.7,,,3.7,,
01/08/2012,22:50,95,,95,,,3.0,,,3.0,,
01/08/2012,23:00,98,88,98,88,,3.2,3.3,,3.2,3.3,
01/08/2012,23:10,92,,92,,,3.2,,,3.2,,
01/08/2012,23:20,83,,83,,,3.4,,,3.4,,
01/08/2012,23:30,83,,83,,,3.3,,,3.3,,
01/08/2012,23:40,81,,81,,,3.8,,,3.8,,
01/08/2012,23:50,85,,85,,,3.5,,,3.5,,
01/08/2012,24:00,80,84,80,84,112,5.0,3.7,2.8,5.0,3.7,2.8
02/08/2012,00:10,73,,73,,,4.5,,,4.5,,
02/08/2012,00:20,78,,78,,,3.8,,,3.8,,
02/08/2012,00:30,86,,86,,,2.7,,,2.7,,
02/08/2012,00:40,92,,92,,,3.1,,,3.1,,
02/08/2012,00:50,101,,101,,,3.2,,,3.2,,
02/08/2012,01:00,93,87,93,87,,3.3,3.4,,3.3,3.4,
